exoplanetLabel,image,constellationLabel
Gliese 667 Cb,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20667.jpg,Scorpion
Gliese 876 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20concept%20of%20Gliese%20876%20b.jpg,Verseau
Gliese 86 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%2086%20Ab%20%28Celestia%29.jpg,Éridan
91 Aquarii b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20at%20Psi1%20Aquarii.png,Verseau
Upsilon Andromedae b,http://commons.wikimedia.org/wiki/Special:FilePath/PIA01936.jpg,Andromède
Gliese 777 Ab,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20777%20Ab%20%28Exoplanete%29.jpg,Cygne
MOA-2007-BLG-400Lb,http://commons.wikimedia.org/wiki/Special:FilePath/MOA%202007-BLG-400%20Planet.png,Sagittaire
HD 96167 b,http://commons.wikimedia.org/wiki/Special:FilePath/PlanetQuest-HD96167b.png,Coupe
HD 149026 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD149026b%20nasa.jpg,Hercule
CoRoT-9b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20exoplanet%20Corot-9b.jpg,Serpent
109 Piscium b,http://commons.wikimedia.org/wiki/Special:FilePath/109%20Piscium%20b%20%28Celestia%29.JPG,Poissons
HD 69830 d,http://commons.wikimedia.org/wiki/Special:FilePath/Artwork%20showing%20a%20blurred%20globe%20and%20other%20celestial%20bodies%2C%20inspired%20by%20the%20asteroid%20belt%20of%20HD%2069830.jpg,Poupe
47 Ursae Majoris d,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.47UMa.d.png,Grande Ourse
54 Piscium b,http://commons.wikimedia.org/wiki/Special:FilePath/54%20Piscium%20b%20%28Celestia%29.jpg,Poissons
54 Piscium b,http://commons.wikimedia.org/wiki/Special:FilePath/LuhmanTStarCompanion%20%2854%20Psc%29.jpg,Poissons
Epsilon Tauri b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20Epsilon%20Tauri%20b.png,Taureau
OGLE-2005-BLG-169Lb,http://commons.wikimedia.org/wiki/Special:FilePath/OGLE-2005-BLG-169Lb.jpg,Sagittaire
HD 37124 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2037124%20b.jpg,Taureau
Gliese 876 c,http://commons.wikimedia.org/wiki/Special:FilePath/ConceptJKV-Gliese876-c.png,Verseau
Gliese 876 c,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.Gliese876.c.png,Verseau
Tau Bootis Ab,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20209458%20b%20Artwork.jpg,Bouvier
V391 Pegasi b,http://commons.wikimedia.org/wiki/Special:FilePath/V391%20Pegasi%20planet.png,Pégase
Gliese 849 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20849%20b1.png,Verseau
